PeakID (cmd=annotatePeaks.pl Filtered_Peaks_Union.txt mm10 -d tag/LKO_GCG_Input-Redo.tag/ tag/LKO_Veh_Input-Redo.tag/ tag/P8249_FLKO_GCG.tag/ tag/P8250_FLKO_GCG.tag/ tag/P8251_FWT_GCG.tag/ tag/P8266_FWT_GCG.tag/ tag/P8268_FLKO_Veh.tag/ tag/P8289_FLKO_Veh.tag/ tag/P8292_FWT_Veh.tag/ tag/P8297_FWT_Veh.tag/ tag/WT_GCG_Input-Redo.tag/ tag/WT_Veh_Input-Redo.tag/)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	"tag/LKO_GCG_Input-Redo.tag/ Tag Count in given bp (18551812.0 Total, normalization factor = 0.54, effective total = 10000000)"	"tag/LKO_Veh_Input-Redo.tag/ Tag Count in given bp (20488236.0 Total, normalization factor = 0.49, effective total = 10000000)"	"tag/P8249_FLKO_GCG.tag/ Tag Count in given bp (19468993.0 Total, normalization factor = 0.51, effective total = 10000000)"	"tag/P8250_FLKO_GCG.tag/ Tag Count in given bp (18132350.0 Total, normalization factor = 0.55, effective total = 10000000)"	"tag/P8251_FWT_GCG.tag/ Tag Count in given bp (17583237.0 Total, normalization factor = 0.57, effective total = 10000000)"	"tag/P8266_FWT_GCG.tag/ Tag Count in given bp (19301124.0 Total, normalization factor = 0.52, effective total = 10000000)"	"tag/P8268_FLKO_Veh.tag/ Tag Count in given bp (17392915.0 Total, normalization factor = 0.57, effective total = 10000000)"	"tag/P8289_FLKO_Veh.tag/ Tag Count in given bp (15752938.0 Total, normalization factor = 0.63, effective total = 10000000)"	"tag/P8292_FWT_Veh.tag/ Tag Count in given bp (19236269.0 Total, normalization factor = 0.52, effective total = 10000000)"	"tag/P8297_FWT_Veh.tag/ Tag Count in given bp (14643986.0 Total, normalization factor = 0.68, effective total = 10000000)"	"tag/WT_GCG_Input-Redo.tag/ Tag Count in given bp (18902719.0 Total, normalization factor = 0.53, effective total = 10000000)"	"tag/WT_Veh_Input-Redo.tag/ Tag Count in given bp (21333023.0 Total, normalization factor = 0.47, effective total = 10000000)"
Merged-chr1-120125016-1	chr1	120124923	120125109	+	18.799999	GetdiffpeaksBCL6WT.txt	"intron (NM_001172074, intron 1 of 4)"	"intron (NM_001172074, intron 1 of 4)"	3829	NM_028439	73103		NM_028439	ENSMUSG00000026388	3110009E18Rik	-	RIKEN cDNA 3110009E18 gene	protein-coding	1.62	2.93	2.05	0.55	0.57	0.52	4.02	2.54	1.04	1.37	2.65	3.28
Merged-chr4-102850719-1	chr4	102850626	102850812	+	18.799999	GetdiffpeaksBCL6WT.txt	"intron (NM_144906, intron 1 of 23)"	"intron (NM_144906, intron 1 of 23)"	90584	NM_001285859	73094		NM_144906	ENSMUSG00000028524	Sgip1	3110007P09Rik|SGIP1alpha|gag	SH3-domain GRB2-like (endophilin) interacting protein 1	protein-coding	1.08	2.93	1.54	0	2.27	3.11	1.72	0	2.6	2.05	0	1.88
Merged-chr6-23147411-1	chr6	23147318	23147504	+	18.799999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-14425	NM_013930	30956		NM_013930	ENSMUSG00000029695	Aass	LKR|LKR/SDH|LOR|LOR/SDH|Lorsdh|SDH	aminoadipate-semialdehyde synthase	protein-coding	1.08	3.9	0	2.21	2.27	1.55	2.87	1.9	2.08	0.68	0.53	1.41
Merged-chr12-57959075-1	chr12	57958982	57959168	+	18.799999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-252729	NM_009216	20605		NM_009216	ENSMUSG00000035431	Sstr1	SRIF-2|SS-1-R|SS1-R|SS1R|Smstr-1|Smstr1|sst1	somatostatin receptor 1	protein-coding	1.08	0.49	0	1.1	0	2.59	0.57	0	1.04	1.37	0.53	0.94
Merged-chr4-102810512-1	chr4	102810419	102810605	+	18.799999	GetdiffpeaksBCL6WT.txt	"intron (NM_144906, intron 1 of 23)"	B4|SINE|B4	50377	NM_001285859	73094		NM_144906	ENSMUSG00000028524	Sgip1	3110007P09Rik|SGIP1alpha|gag	SH3-domain GRB2-like (endophilin) interacting protein 1	protein-coding	1.08	1.95	2.57	2.76	2.27	5.7	5.17	1.9	3.64	2.73	0.53	0.94
Merged-chr8-82415711-1	chr8	82415618	82415804	+	18.799999	GetdiffpeaksBCL6WT.txt	Intergenic	RLTR40|LTR|ERVK	-13125	NM_008357	16168		NM_008357	ENSMUSG00000031712	Il15	IL-15	interleukin 15	protein-coding	2.16	1.95	2.05	0	0	1.04	1.72	0.63	2.6	4.78	1.59	0.47
Merged-chr7-132574751-1	chr7	132574658	132574844	+	18.799999	GetdiffpeaksBCL6WT.txt	"intron (NM_016978, intron 1 of 9)"	"intron (NM_016978, intron 1 of 9)"	1647	NM_016978	18242		NM_016978	ENSMUSG00000030934	Oat	rhg	ornithine aminotransferase	protein-coding	0.54	0.98	4.11	6.07	6.82	3.11	16.1	9.52	7.28	10.93	1.59	2.34
Merged-chr5-51545845-1	chr5	51545692	51545998	+	18.266666	pCREB.fed.mergepeaks.txt	"intron (NM_008904, intron 2 of 12)"	"intron (NM_008904, intron 2 of 12)"	8076	NR_027710	19017		NM_008904	ENSMUSG00000029167	Ppargc1a	A830037N07Rik|Gm11133|PGC-1|PPARGC-1-alpha|Pgc-1alpha|Pgc1|Pgco1|Ppargc1	"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha"	protein-coding	1.62	2.44	26.71	39.16	22.18	24.35	64.97	57.77	36.91	80.58	2.65	1.41
Merged-chr13-6059944-1	chr13	6059851	6060037	+	17.6	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	198455	NM_011803	23849		NM_011803	ENSMUSG00000000078	Klf6	BCD1|CPBP|Copeb|FM2|FM6|Ierepo1|Ierepo3|Zf9	Kruppel-like transcription factor 6	protein-coding	2.7	3.42	2.05	1.65	0	0.52	2.87	3.17	0.52	0.68	0	1.88
Merged-chr1-166293099-1	chr1	166293006	166293192	+	17.6	GetdiffpeaksBCL6WT.txt	"intron (NM_001357431, intron 4 of 7)"	"intron (NM_001357431, intron 4 of 7)"	38960	NM_001164528	100039795		NM_001164528	ENSMUSG00000040612	Ildr2	2810478N18Rik|3110063L10Rik|D1Ertd471e|Dbsm1|Ll	immunoglobulin-like domain containing receptor 2	protein-coding	1.08	1.95	1.54	2.76	2.27	2.59	3.45	1.27	1.04	3.41	0.53	1.41
Merged-chr1-194482883-1	chr1	194482790	194482976	+	17.6	GetdiffpeaksBCL6WT.txt	Intergenic	RMER15|LTR|ERVL	-136946	NM_008882	18845		NM_008882	ENSMUSG00000026640	Plxna2	2810428A13Rik|OCT|PlexA2|Plxn2|mKIAA0463	plexin A2	protein-coding	2.16	3.42	5.65	3.86	2.84	4.14	4.02	3.81	2.08	3.41	0.53	0.94
Merged-chrX-97744563-1	chrX	97744470	97744656	+	17.6	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-367354	NM_001161433	245527		NM_175540	ENSMUSG00000034457	Eda2r	9430060M22Rik|TNFRSF27|Xedar	ectodysplasin A2 receptor	protein-coding	1.62	1.95	0.51	2.76	2.27	1.04	0.57	1.27	1.04	4.1	0	0.94
Merged-chr13-37896151-1	chr13	37896058	37896244	+	17.6	GetdiffpeaksBCL6WT.txt	"intron (NR_033615, intron 4 of 9)"	"intron (NR_033615, intron 4 of 9)"	7280	NM_001177869	68750		NM_026830	ENSMUSG00000039087	Rreb1	1110037N09Rik|B930013M22Rik|sao	ras responsive element binding protein 1	protein-coding	0	2.93	0	0.55	0.57	2.59	1.72	1.9	0.52	0	0.53	1.88
Merged-chr4-103671499-1	chr4	103671406	103671592	+	17.6	GetdiffpeaksBCL6WT.txt	"intron (NM_001369046, intron 1 of 16)"	MLT1K|LTR|ERVL-MaLR	51999	NM_001369048	13131		NM_010014	ENSMUSG00000028519	Dab1	C630028C02Rik|scm|scr|scrambler|yot	disabled 1	protein-coding	0.54	0.49	1.54	0	0	0.52	0	1.27	0.52	4.78	0.53	1.41
Merged-chr15-96802589-2	chr15	96802434	96802738	+	17.1625	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-102858	NM_175121	67760		NM_175121	ENSMUSG00000022462	Slc38a2	5033402L14Rik|ATA2|SAT2|SNAT2|mKIAA1382	"solute carrier family 38, member 2"	protein-coding	3.23	2.44	19	25.92	19.34	18.13	40.82	30.47	17.16	38.24	5.29	5.16
Merged-chr3-52046321-1	chr3	52046127	52046516	+	16.6	pCREB.fed.mergepeaks.txt	"intron (NM_001004176, intron 1 of 4)"	"intron (NM_001004176, intron 1 of 4)"	58685	NM_001004176	433586		NM_001004176	ENSMUSG00000061143	Maml3	Mam-2|mKIAA1816	mastermind like transcriptional coactivator 3	protein-coding	3.23	4.39	19	18.75	21.04	20.21	43.7	39.99	20.79	41.66	4.23	3.28
Merged-chr8-114109905-1	chr8	114109812	114109998	+	16.4	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-23669	NM_024446	67528		NM_024437	ENSMUSG00000031767	Nudt7	1300007B24Rik|2210404C19Rik	nudix hydrolase 7	protein-coding	1.08	0.98	0	1.65	0	1.04	0	0.63	0	0.68	1.59	0.47
Merged-chr4-6270642-1	chr4	6270549	6270735	+	16.4	GetdiffpeaksBCL6WT.txt	"intron (NM_007824, intron 4 of 5)"	RMER1B|Other|Other	4990	NM_007824	13122		NM_007824	ENSMUSG00000028240	Cyp7a1	CYPVII|CYPVIIc	"cytochrome P450, family 7, subfamily a, polypeptide 1"	protein-coding	2.7	0.98	1.03	1.1	2.27	2.07	1.15	1.9	1.56	0.68	0.53	3.28
Merged-chr8-125984338-1	chr8	125984245	125984431	+	16.4	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-10764	NM_008430	16525		NM_008430	ENSMUSG00000033998	Kcnk1	TWIK-1	"potassium channel, subfamily K, member 1"	protein-coding	0	0.49	1.03	0.55	2.27	2.07	0.57	1.27	2.6	2.05	0.53	0.47
Merged-chr19-58396789-1	chr19	58396696	58396882	+	16.4	GetdiffpeaksBCL6WT.txt	"intron (NM_010279, intron 4 of 10)"	"intron (NM_010279, intron 4 of 10)"	58609	NR_104342	14585		NM_010279	ENSMUSG00000025089	Gfra1	GFRalpha-1	glial cell line derived neurotrophic factor family receptor alpha 1	protein-coding	0.54	0.49	1.03	1.65	1.71	1.04	2.3	1.27	0.52	0.68	1.06	1.88
Merged-chr5-51511692-1	chr5	51511599	51511785	+	16.4	GetdiffpeaksBCL6WT.txt	"intron (NM_008904, intron 2 of 12)"	"intron (NM_008904, intron 2 of 12)"	42229	NR_027710	19017		NM_008904	ENSMUSG00000029167	Ppargc1a	A830037N07Rik|Gm11133|PGC-1|PPARGC-1-alpha|Pgc-1alpha|Pgc1|Pgco1|Ppargc1	"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha"	protein-coding	1.08	1.46	0.51	4.41	1.71	1.55	2.87	1.9	1.04	4.78	1.59	2.34
Merged-chr3-65494444-1	chr3	65494351	65494537	+	15.3	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-34003	NM_178892	99929		NM_178892	ENSMUSG00000034640	Tiparp	ARTD14|PARP7	TCDD-inducible poly(ADP-ribose) polymerase	protein-coding	2.16	1.95	1.03	0	1.71	3.11	1.15	0	0.52	0.68	0.53	0
Merged-chr1-167391382-1	chr1	167391289	167391475	+	15.3	GetdiffpeaksBCL6WT.txt	"intron (NM_025569, intron 1 of 5)"	"intron (NM_025569, intron 1 of 5)"	2459	NM_025569	66447		NM_025569	ENSMUSG00000026688	Mgst3	2010012L10Rik|2010306B17Rik|2700004G04Rik|GST-III	microsomal glutathione S-transferase 3	protein-coding	1.08	0.98	1.03	3.31	1.71	7.25	5.75	3.17	3.12	5.46	0.53	1.41
Merged-chr13-101758214-1	chr13	101758121	101758307	+	15.3	GetdiffpeaksBCL6WT.txt	"intron (NM_001077495, intron 1 of 15)"	"intron (NM_001077495, intron 1 of 15)"	10003	NM_001077495	18708		NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding	0	1.95	1.54	2.21	0	2.07	2.87	0.63	0.52	2.05	1.06	0.94
Merged-chr11-101483925-1	chr11	101483832	101484018	+	15.3	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	15750	NM_009708	11858		NM_009708	ENSMUSG00000001313	Rnd2	Arhn|Rohn|rho7	Rho family GTPase 2	protein-coding	1.08	2.44	1.03	0	1.14	2.59	2.3	0	1.04	3.41	0.53	0.47
Merged-chr2-160339776-1	chr2	160339605	160339947	+	14.900001	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-12282	NM_001033411	329554		NM_001033411		Gm826	Gm46773	predicted gene 826	ncRNA	2.7	3.42	23.11	37.5	25.59	19.69	46	29.84	18.19	40.97	2.65	9.38
Merged-chr1-195241734-1	chr1	195241574	195241894	+	14.566667	pCREB.fed.mergepeaks.txt	Intergenic	CpG	-65015	NM_007758	12902		NM_007758	ENSMUSG00000026616	Cr2	C3DR|CD21|CD35|Cr-1|Cr-2|Cr1	complement receptor 2	protein-coding	9.7	15.62	2.05	0.55	2.84	4.66	7.47	6.98	5.72	8.19	11.11	15
Merged-chr15-31361576-1	chr15	31361364	31361788	+	14.466666	pCREB.fed.mergepeaks.txt	"intron (NM_027496, intron 1 of 3)"	"intron (NM_027496, intron 1 of 3)"	6183	NM_001164441	67434		NM_026153	ENSMUSG00000022237	Ankrd33b	0610012A05Rik|3021401C12Rik|5730557B15Rik	ankyrin repeat domain 33B	protein-coding	2.16	1.95	15.41	22.61	20.47	16.58	41.97	24.76	19.23	38.92	1.06	2.34
Merged-chr5-93267530-1	chr5	93267379	93267681	+	14.1	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_007635)	promoter-TSS (NM_007635)	-43	NM_007635	12452		NM_007635	ENSMUSG00000029385	Ccng2	-	cyclin G2	protein-coding	1.08	7.32	2.57	2.76	2.27	3.63	12.65	9.52	4.68	11.61	6.35	2.81
Merged-chr8-114090069-1	chr8	114089855	114090283	+	13.633333	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-43505	NM_024446	67528		NM_024437	ENSMUSG00000031767	Nudt7	1300007B24Rik|2210404C19Rik	nudix hydrolase 7	protein-coding	2.16	1.46	0.51	2.21	3.41	2.07	1.72	1.9	3.64	2.05	1.59	1.88
Merged-chr19-29948494-1	chr19	29948343	29948645	+	13.3	pCREB.fed.mergepeaks.txt	"intron (NM_001164724, intron 1 of 7)"	"intron (NM_001164724, intron 1 of 7)"	2704	NM_001164724	77125		NM_133775	ENSMUSG00000024810	Il33	9230117N10Rik|Il-33|Il1f11|NF-HEV	interleukin 33	protein-coding	1.08	3.9	4.62	7.72	3.41	5.18	12.07	8.89	3.12	12.97	4.23	5.63
Merged-chr4-102759685-1	chr4	102759517	102759854	+	13.25	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001285860)	promoter-TSS (NM_001285860)	-450	NM_001285862	73094		NM_144906	ENSMUSG00000028524	Sgip1	3110007P09Rik|SGIP1alpha|gag	SH3-domain GRB2-like (endophilin) interacting protein 1	protein-coding	2.7	0	7.7	12.13	9.67	9.33	29.32	24.76	10.4	19.8	4.23	2.34
Merged-chr11-107470714-1	chr11	107470562	107470866	+	12.6	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_145823)	promoter-TSS (NM_145823)	6	NM_001359616	71795		NM_145823	ENSMUSG00000040430	Pitpnc1	1110020B03Rik|5830436L09Rik|C330017I21Rik|Dnr411|RDGBB|RDGBB1|mrdgBbeta|rdgB-beta	"phosphatidylinositol transfer protein, cytoplasmic 1"	protein-coding	2.16	3.42	4.62	14.34	5.69	11.4	25.87	24.76	9.88	17.75	6.35	8.91
Merged-chr19-3708285-1	chr19	3708121	3708450	+	12.433333	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001358258)	promoter-TSS (NM_001358258)	-8	NM_001358256	72056		NM_028077	ENSMUSG00000035372	1810055G02Rik	-	RIKEN cDNA 1810055G02 gene	protein-coding	2.16	8.79	24.14	30.88	25.59	17.62	78.77	45.71	31.71	71.7	4.76	6.56
Merged-chr13-24338713-1	chr13	24338546	24338880	+	12.22	pCREB.fed.mergepeaks.txt	"intron (NR_167750, intron 2 of 3)"	"intron (NR_167750, intron 2 of 3)"	11309	NM_001111110	12763		NM_007717	ENSMUSG00000016756	Cmah	-	cytidine monophospho-N-acetylneuraminic acid hydroxylase	protein-coding	4.31	0.49	4.62	12.13	10.24	7.77	21.27	15.87	9.36	6.83	1.06	5.16
Merged-chr15-96742728-1	chr15	96742465	96742992	+	12.133333	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-43000	NM_175121	67760		NM_175121	ENSMUSG00000022462	Slc38a2	5033402L14Rik|ATA2|SAT2|SNAT2|mKIAA1382	"solute carrier family 38, member 2"	protein-coding	4.31	6.83	24.65	39.16	31.28	27.46	59.22	33.64	21.83	45.75	5.29	4.22
Merged-chr13-51846531-1	chr13	51846327	51846736	+	12.1	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_011817)	promoter-TSS (NM_011817)	-144	NM_011817	23882		NM_011817	ENSMUSG00000021453	Gadd45g	CR6|DDIT2|OIG37	growth arrest and DNA-damage-inducible 45 gamma	protein-coding	2.16	3.9	6.16	12.68	9.67	9.33	25.3	15.87	9.88	30.05	2.12	1.88
Merged-chr18-64626477-1	chr18	64626288	64626667	+	12.049999	pCREB.fed.mergepeaks.txt	"intron (NM_001001488, intron 1 of 27)"	"intron (NM_001001488, intron 1 of 27)"	34523	NM_001001488	54670		NM_001001488	ENSMUSG00000039529	Atp8b1	FIC1|Ic	"ATPase, class I, type 8B, member 1"	protein-coding	5.93	3.42	7.7	7.72	7.96	6.22	14.95	10.79	4.16	10.24	3.17	2.81
Merged-chr16-37525326-1	chr16	37525175	37525477	+	11.8	pCREB.fed.mergepeaks.txt	"intron (NM_001355727, intron 2 of 4)"	"intron (NM_001355727, intron 2 of 4)"	14463	NM_028812	74197		NM_028812	ENSMUSG00000022828	Gtf2e1	2610024P03Rik|56kDa|FE|TFIIE-A	"general transcription factor II E, polypeptide 1 (alpha subunit)"	protein-coding	1.62	0	12.84	14.89	7.96	7.77	16.67	9.52	4.68	8.88	2.12	0.94
Merged-chr4-32288555-1	chr4	32288374	32288736	+	11.8	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-128880	NM_001109661	12014		NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	"BTB and CNC homology, basic leucine zipper transcription factor 2"	protein-coding	3.77	2.44	5.14	15.44	9.1	12.43	15.52	9.52	6.24	19.12	2.65	5.63
Merged-chr18-64661267-1	chr18	64661034	64661500	+	11.783333	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001001488)	promoter-TSS (NM_001001488)	-267	NM_001001488	54670		NM_001001488	ENSMUSG00000039529	Atp8b1	FIC1|Ic	"ATPase, class I, type 8B, member 1"	protein-coding	5.93	4.88	12.33	14.89	15.36	13.99	36.8	33.64	14.56	39.61	6.35	8.44
Merged-chr5-93266859-1	chr5	93266713	93267005	+	11.5	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_007635)	promoter-TSS (NM_007635)	-714	NM_007635	12452		NM_007635	ENSMUSG00000029385	Ccng2	-	cyclin G2	protein-coding	3.77	1.46	1.54	2.76	3.41	3.63	3.45	3.81	2.08	4.1	1.59	2.81
Merged-chr15-96710148-1	chr15	96710002	96710294	+	11.5	pCREB.fed.mergepeaks.txt	Intergenic	CpG	-10420	NM_175121	67760		NM_175121	ENSMUSG00000022462	Slc38a2	5033402L14Rik|ATA2|SAT2|SNAT2|mKIAA1382	"solute carrier family 38, member 2"	protein-coding	4.31	5.86	3.6	1.65	3.98	4.14	9.77	3.81	5.72	9.56	4.23	4.22
Merged-chr18-34861127-1	chr18	34860960	34861294	+	11.175	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_007913)	promoter-TSS (NM_007913)	-80	NM_007913	13653		NM_007913	ENSMUSG00000038418	Egr1	A530045N19Rik|ETR103|Egr-1|Krox-1|Krox-24|Krox24|NGF1-A|NGFI-A|NGFIA|TIS8|Zenk|Zfp-6|Zif268|egr	early growth response 1	protein-coding	1.62	9.76	35.44	44.12	36.4	40.41	105.79	82.52	36.39	101.07	2.12	5.16
Merged-chr18-34506906-1	chr18	34506711	34507102	+	10.95	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_146084)	promoter-TSS (NM_146084)	-83	NM_146084	225358		NM_146084	ENSMUSG00000036501	Fam13b	2610024E20Rik	"family with sequence similarity 13, member B"	protein-coding	2.16	6.35	23.11	31.44	23.89	21.76	82.79	50.78	26.51	78.53	4.23	7.97
Merged-chr18-74962085-1	chr18	74961939	74962231	+	10.9	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_010720)	promoter-TSS (NM_010720)	-822	NM_010720	16891		NM_010720	ENSMUSG00000053846	Lipg	3110013K01Rik|EL|lipase|mEDL	"lipase, endothelial"	protein-coding	2.7	5.86	2.05	3.31	5.12	6.22	8.05	4.44	6.24	17.07	3.17	1.88
Merged-chr4-32304507-1	chr4	32304263	32304751	+	10.893333	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-112928	NM_001109661	12014		NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	"BTB and CNC homology, basic leucine zipper transcription factor 2"	protein-coding	5.39	4.39	9.25	12.13	14.22	12.43	32.2	20.95	19.75	42.34	3.7	6.56
Merged-chr15-96699737-1	chr15	96699586	96699888	+	10.4	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001355633)	promoter-TSS (NM_001355633)	-9	NM_175121	67760		NM_175121	ENSMUSG00000022462	Slc38a2	5033402L14Rik|ATA2|SAT2|SNAT2|mKIAA1382	"solute carrier family 38, member 2"	protein-coding	2.7	3.42	18.49	14.34	10.24	15.03	29.32	14.6	10.4	23.9	4.23	4.69
Merged-chr3-52047282-1	chr3	52047131	52047433	+	10.4	pCREB.fed.mergepeaks.txt	"intron (NM_001004176, intron 1 of 4)"	"intron (NM_001004176, intron 1 of 4)"	57724	NM_001004176	433586		NM_001004176	ENSMUSG00000061143	Maml3	Mam-2|mKIAA1816	mastermind like transcriptional coactivator 3	protein-coding	3.23	1.46	4.11	10.48	3.41	10.88	14.37	12.7	4.16	12.29	2.65	4.69
Merged-chr5-142783334-1	chr5	142783178	142783491	+	10.315001	pCREB.fed.mergepeaks.txt	"intron (NM_001122730, intron 4 of 27)"	"intron (NM_001122730, intron 4 of 27)"	34328	NM_001122730	231861		NM_178242	ENSMUSG00000039477	Tnrc18	EG381742|Zfp469	trinucleotide repeat containing 18	protein-coding	1.62	1.95	13.35	22.61	17.63	12.95	33.35	26.03	16.64	36.19	1.06	2.34
Merged-chr19-58441398-1	chr19	58441252	58441544	+	10.3	pCREB.fed.mergepeaks.txt	"intron (NM_010279, intron 4 of 10)"	B4A|SINE|B4	14000	NR_104342	14585		NM_010279	ENSMUSG00000025089	Gfra1	GFRalpha-1	glial cell line derived neurotrophic factor family receptor alpha 1	protein-coding	2.7	2.93	5.14	13.79	6.82	5.7	8.05	11.43	4.16	10.24	1.59	6.09
Merged-chr1-182957369-1	chr1	182957217	182957521	+	10.3	pCREB.fed.mergepeaks.txt	"intron (NM_016928, intron 1 of 3)"	LTR86B1|LTR|ERVL	2581	NM_016928	53791		NM_016928	ENSMUSG00000079164	Tlr5	-	toll-like receptor 5	protein-coding	1.62	1.95	7.19	11.03	4.55	6.22	13.22	8.25	11.44	29.36	3.17	3.75
Merged-chr1-193271068-1	chr1	193270922	193271214	+	10.3	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	2120	NM_008059	14373		NM_008059	ENSMUSG00000009633	G0s2	-	G0/G1 switch gene 2	protein-coding	1.08	1.95	3.6	0.55	1.71	2.07	2.87	3.17	2.08	2.05	7.41	4.22
Merged-chr1-193272855-1	chr1	193272709	193273001	+	10.3	pCREB.fed.mergepeaks.txt	"intron (NM_008059, intron 1 of 1)"	"intron (NM_008059, intron 1 of 1)"	333	NM_008059	14373		NM_008059	ENSMUSG00000009633	G0s2	-	G0/G1 switch gene 2	protein-coding	2.7	1.95	2.05	1.1	2.84	3.63	7.47	1.9	2.6	8.19	2.65	7.97
Merged-chr13-37715478-1	chr13	37715251	37715706	+	10	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-110560	NM_026830	68750		NM_026830	ENSMUSG00000039087	Rreb1	1110037N09Rik|B930013M22Rik|sao	ras responsive element binding protein 1	protein-coding	4.31	5.37	28.76	30.88	31.85	24.87	37.95	20.95	10.4	25.95	2.12	5.16
Merged-chr4-45472262-1	chr4	45472110	45472414	+	9.75	pCREB.fed.mergepeaks.txt	"intron (NM_001033306, intron 2 of 5)"	"intron (NM_001033306, intron 2 of 5)"	58566	NM_001033306	230126		NM_001033306	ENSMUSG00000044813	Shb	-	src homology 2 domain-containing transforming protein B	protein-coding	2.7	2.44	6.16	10.48	9.67	6.22	7.47	4.44	4.68	9.56	3.17	1.88
Merged-chr13-5861273-1	chr13	5861127	5861419	+	9.65	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_011803)	promoter-TSS (NM_011803)	-216	NM_011803	23849		NM_011803	ENSMUSG00000000078	Klf6	BCD1|CPBP|Copeb|FM2|FM6|Ierepo1|Ierepo3|Zf9	Kruppel-like transcription factor 6	protein-coding	1.08	2.44	7.19	9.93	5.12	4.66	20.12	15.24	4.16	23.22	4.76	7.97
Merged-chr1-193271753-1	chr1	193271607	193271899	+	9.65	pCREB.fed.mergepeaks.txt	TTS (NM_008059)	TTS (NM_008059)	1435	NM_008059	14373		NM_008059	ENSMUSG00000009633	G0s2	-	G0/G1 switch gene 2	protein-coding	2.16	0.98	1.03	0	2.27	1.04	3.45	0	3.12	4.1	4.23	4.69
Merged-chr2-57124242-1	chr2	57124075	57124410	+	9.646667	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001139509)	promoter-TSS (NM_001139509)	-239	NM_001139509	18227		NM_013613	ENSMUSG00000026826	Nr4a2	HZF-3|NOT|Nurr1|RNR-1|TINOR|TINUR	"nuclear receptor subfamily 4, group A, member 2"	protein-coding	2.16	0.98	18.49	14.34	27.87	31.09	43.12	38.09	27.55	66.24	2.65	3.28
Merged-chr8-93332796-1	chr8	93332645	93332947	+	9.63	pCREB.fed.mergepeaks.txt	"intron (NM_021456, intron 3 of 13)"	"intron (NM_021456, intron 3 of 13)"	4413	NM_021456	12623		NM_021456	ENSMUSG00000057074	Ces1g	CEH|Ces-1|Ces1|Ses-1	carboxylesterase 1G	protein-coding	1.62	0.49	1.03	2.21	2.27	2.07	2.87	4.44	1.04	3.41	3.7	5.16
Merged-chr1-78537556-1	chr1	78537405	78537707	+	9.63	pCREB.fed.mergepeaks.txt	"intron (NM_026713, intron 6 of 6)"	"intron (NM_026713, intron 6 of 6)"	26496	NM_026713	68393		NM_026713	ENSMUSG00000012187	Mogat1	0610030A14Rik|1110064N14Rik|Dgat2l|Dgat2l1|MGAT1|WI1-2612I11.1|mDC2	monoacylglycerol O-acyltransferase 1	protein-coding	1.08	1.95	11.3	7.72	2.84	8.81	25.3	16.5	11.96	14.34	1.06	2.34
