PeakID (cmd=annotatePeaks.pl Filtered_Peaks_KD.txt mm10 -d tag/LKO_GCG_Input-Redo.tag/ tag/LKO_Veh_Input-Redo.tag/ tag/P8249_FLKO_GCG.tag/ tag/P8250_FLKO_GCG.tag/ tag/P8251_FWT_GCG.tag/ tag/P8266_FWT_GCG.tag/ tag/P8268_FLKO_Veh.tag/ tag/P8289_FLKO_Veh.tag/ tag/P8292_FWT_Veh.tag/ tag/P8297_FWT_Veh.tag/ tag/WT_GCG_Input-Redo.tag/ tag/WT_Veh_Input-Redo.tag/)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	tag/LKO_GCG_Input-Redo.tag/ Tag Count in given bp (18551812.0 Total, normalization factor = 0.54, effective total = 10000000)	tag/LKO_Veh_Input-Redo.tag/ Tag Count in given bp (20488236.0 Total, normalization factor = 0.49, effective total = 10000000)	tag/P8249_FLKO_GCG.tag/ Tag Count in given bp (19468993.0 Total, normalization factor = 0.51, effective total = 10000000)	tag/P8250_FLKO_GCG.tag/ Tag Count in given bp (18132350.0 Total, normalization factor = 0.55, effective total = 10000000)	tag/P8251_FWT_GCG.tag/ Tag Count in given bp (17583237.0 Total, normalization factor = 0.57, effective total = 10000000)	tag/P8266_FWT_GCG.tag/ Tag Count in given bp (19301124.0 Total, normalization factor = 0.52, effective total = 10000000)	tag/P8268_FLKO_Veh.tag/ Tag Count in given bp (17392915.0 Total, normalization factor = 0.57, effective total = 10000000)	tag/P8289_FLKO_Veh.tag/ Tag Count in given bp (15752938.0 Total, normalization factor = 0.63, effective total = 10000000)	tag/P8292_FWT_Veh.tag/ Tag Count in given bp (19236269.0 Total, normalization factor = 0.52, effective total = 10000000)	tag/P8297_FWT_Veh.tag/ Tag Count in given bp (14643986.0 Total, normalization factor = 0.68, effective total = 10000000)	tag/WT_GCG_Input-Redo.tag/ Tag Count in given bp (18902719.0 Total, normalization factor = 0.53, effective total = 10000000)	tag/WT_Veh_Input-Redo.tag/ Tag Count in given bp (21333023.0 Total, normalization factor = 0.47, effective total = 10000000)
Merged-chr4-32304507-1	chr4	32304263	32304751	+	10.893333	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-112928	NM_001109661	12014		NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	BTB and CNC homology, basic leucine zipper transcription factor 2	protein-coding	5.39	4.39	9.25	12.13	14.22	12.43	32.20	20.95	19.75	42.34	3.70	6.56
Merged-chr3-52047282-1	chr3	52047131	52047433	+	10.4	pCREB.fed.mergepeaks.txt	intron (NM_001004176, intron 1 of 4)	intron (NM_001004176, intron 1 of 4)	57724	NM_001004176	433586		NM_001004176	ENSMUSG00000061143	Maml3	Mam-2|mKIAA1816	mastermind like transcriptional coactivator 3	protein-coding	3.23	1.46	4.11	10.48	3.41	10.88	14.37	12.70	4.16	12.29	2.65	4.69
Merged-chr15-96699737-1	chr15	96699586	96699888	+	10.4	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001355633)	promoter-TSS (NM_001355633)	-9	NM_001355633	67760		NM_175121	ENSMUSG00000022462	Slc38a2	5033402L14Rik|ATA2|SAT2|SNAT2|mKIAA1382	solute carrier family 38, member 2	protein-coding	2.70	3.42	18.49	14.34	10.24	15.03	29.32	14.60	10.40	23.90	4.23	4.69
Merged-chr5-142783334-1	chr5	142783178	142783491	+	10.315001	pCREB.fed.mergepeaks.txt	intron (NM_001122730, intron 4 of 27)	intron (NM_001122730, intron 4 of 27)	34328	NM_001122730	231861		NM_178242	ENSMUSG00000039477	Tnrc18	EG381742|Zfp469	trinucleotide repeat containing 18	protein-coding	1.62	1.95	13.35	22.61	17.63	12.95	33.35	26.03	16.64	36.19	1.06	2.34
Merged-chr19-58441398-1	chr19	58441252	58441544	+	10.3	pCREB.fed.mergepeaks.txt	intron (NM_010279, intron 4 of 10)	B4A|SINE|B4	14000	NM_010279	14585		NM_010279	ENSMUSG00000025089	Gfra1	GFRalpha-1	glial cell line derived neurotrophic factor family receptor alpha 1	protein-coding	2.70	2.93	5.14	13.79	6.82	5.70	8.05	11.43	4.16	10.24	1.59	6.09
Merged-chr1-182957369-1	chr1	182957217	182957521	+	10.3	pCREB.fed.mergepeaks.txt	intron (NM_016928, intron 1 of 3)	LTR86B1|LTR|ERVL	2581	NM_016928	53791		NM_016928	ENSMUSG00000079164	Tlr5	-	toll-like receptor 5	protein-coding	1.62	1.95	7.19	11.03	4.55	6.22	13.22	8.25	11.44	29.36	3.17	3.75
Merged-chr13-37715478-1	chr13	37715251	37715706	+	10	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-110560	NM_026830	68750		NM_026830	ENSMUSG00000039087	Rreb1	1110037N09Rik|B930013M22Rik|sao	ras responsive element binding protein 1	protein-coding	4.31	5.37	28.76	30.88	31.85	24.87	37.95	20.95	10.40	25.95	2.12	5.16
Merged-chr13-5861273-1	chr13	5861127	5861419	+	9.65	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_011803)	promoter-TSS (NM_011803)	-216	NM_011803	23849		NM_011803	ENSMUSG00000000078	Klf6	BCD1|CPBP|Copeb|FM2|FM6|Ierepo1|Ierepo3|Zf9	Kruppel-like transcription factor 6	protein-coding	1.08	2.44	7.19	9.93	5.12	4.66	20.12	15.24	4.16	23.22	4.76	7.97
Merged-chr2-57124242-1	chr2	57124075	57124410	+	9.646667	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001139509)	promoter-TSS (NM_001139509)	-239	NM_001139509	18227		NM_013613	ENSMUSG00000026826	Nr4a2	HZF-3|NOT|Nurr1|RNR-1|TINOR|TINUR	nuclear receptor subfamily 4, group A, member 2	protein-coding	2.16	0.98	18.49	14.34	27.87	31.09	43.12	38.09	27.55	66.24	2.65	3.28
Merged-chr8-93332796-1	chr8	93332645	93332947	+	9.63	pCREB.fed.mergepeaks.txt	intron (NM_021456, intron 3 of 13)	intron (NM_021456, intron 3 of 13)	4413	NM_021456	12623		NM_021456	ENSMUSG00000057074	Ces1g	CEH|Ces-1|Ces1|Ses-1	carboxylesterase 1G	protein-coding	1.62	0.49	1.03	2.21	2.27	2.07	2.87	4.44	1.04	3.41	3.70	5.16
Merged-chr13-37825752-1	chr13	37825601	37825903	+	9.63	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_026830)	promoter-TSS (NM_026830)	-286	NM_026830	68750		NM_026830	ENSMUSG00000039087	Rreb1	1110037N09Rik|B930013M22Rik|sao	ras responsive element binding protein 1	protein-coding	1.08	1.95	2.05	0.55	1.71	0.52	4.02	3.17	2.60	3.41	4.23	1.88
Merged-chr18-74958588-1	chr18	74958436	74958740	+	9.17	pCREB.fed.mergepeaks.txt	intron (NM_010720, intron 1 of 9)	intron (NM_010720, intron 1 of 9)	2675	NM_010720	16891		NM_010720	ENSMUSG00000053846	Lipg	3110013K01Rik|EL|lipase|mEDL	lipase, endothelial	protein-coding	2.70	1.95	1.54	4.41	5.69	8.81	5.75	4.44	6.76	8.88	1.59	4.69
Merged-chr1-167374800-1	chr1	167374648	167374952	+	9.17	pCREB.fed.mergepeaks.txt	intron (NM_025569, intron 4 of 5)	intron (NM_025569, intron 4 of 5)	19041	NM_025569	66447		NM_025569	ENSMUSG00000026688	Mgst3	2010012L10Rik|2010306B17Rik|2700004G04Rik|GST-III	microsomal glutathione S-transferase 3	protein-coding	1.62	1.95	6.16	6.07	2.27	2.59	5.17	1.90	3.12	4.10	2.65	2.34
Merged-chr11-20333055-1	chr11	20332805	20333306	+	9.093333	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_018861)	promoter-TSS (NM_018861)	-342	NM_018861	55963		NM_018861	ENSMUSG00000020142	Slc1a4	ASCT-1|ASCT1|SATT	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	protein-coding	2.70	10.74	6.68	12.68	14.79	10.36	37.37	20.95	9.36	32.78	4.23	10.78
Merged-chr18-64620020-1	chr18	64619874	64620166	+	9.05	pCREB.fed.mergepeaks.txt	intron (NM_001001488, intron 1 of 27)	intron (NM_001001488, intron 1 of 27)	40980	NM_001001488	54670		NM_001001488	ENSMUSG00000039529	Atp8b1	FIC1|Ic	ATPase, class I, type 8B, member 1	protein-coding	3.77	1.95	5.14	5.52	3.41	5.18	12.07	9.52	7.28	9.56	2.12	5.16
Merged-chr13-102023755-1	chr13	102023609	102023901	+	9.05	pCREB.fed.mergepeaks.txt	Intergenic	MIRb|SINE|MIR	-255538	NM_001077495	18708		NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding	2.70	4.39	2.57	2.21	5.12	4.14	4.02	0.63	1.04	3.41	2.12	3.75
Merged-chr13-101862266-1	chr13	101862120	101862412	+	9.05	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-94049	NM_001077495	18708		NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding	2.70	1.95	26.71	32.54	21.04	16.06	12.65	11.43	3.64	7.51	2.65	5.63
Merged-chr7-72305850-1	chr7	72305699	72306001	+	8.89	pCREB.fed.mergepeaks.txt	intron (NM_001024703, intron 1 of 22)	intron (NM_001024703, intron 1 of 22)	745	NM_001024703	244049		NM_001024703	ENSMUSG00000032776	Mctp2	Gm489	multiple C2 domains, transmembrane 2	protein-coding	2.70	1.95	3.08	4.41	2.84	0.52	4.60	2.54	2.08	5.46	1.06	1.41
Merged-chr8-93325195-1	chr8	93325037	93325353	+	8.84	pCREB.fed.mergepeaks.txt	intron (NM_021456, intron 7 of 13)	intron (NM_021456, intron 7 of 13)	12014	NM_021456	12623		NM_021456	ENSMUSG00000057074	Ces1g	CEH|Ces-1|Ces1|Ses-1	carboxylesterase 1G	protein-coding	0.54	4.39	6.16	7.72	4.55	6.74	25.87	14.60	3.64	23.22	2.12	0.94
Merged-chr11-101467588-1	chr11	101467427	101467750	+	8.505	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_009708)	promoter-TSS (NM_009708)	-587	NM_009708	11858		NM_009708	ENSMUSG00000001313	Rnd2	Arhn|Rohn|rho7	Rho family GTPase 2	protein-coding	4.31	4.88	9.25	8.82	5.69	5.70	10.35	12.70	10.40	20.49	3.70	3.75
Merged-chr5-93251217-1	chr5	93251071	93251363	+	8.45	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-16356	NM_007635	12452		NM_007635	ENSMUSG00000029385	Ccng2	-	cyclin G2	protein-coding	2.16	1.95	5.14	4.96	5.12	4.14	6.90	3.81	6.24	3.41	2.12	2.34
Merged-chr13-37815077-1	chr13	37814931	37815223	+	8.45	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-10961	NM_026830	68750		NM_026830	ENSMUSG00000039087	Rreb1	1110037N09Rik|B930013M22Rik|sao	ras responsive element binding protein 1	protein-coding	1.62	3.42	2.57	1.65	0.57	5.18	4.02	2.54	2.60	2.05	3.17	1.88
Merged-chr4-32389346-1	chr4	32389200	32389492	+	8.45	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-28089	NM_001109661	12014		NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	BTB and CNC homology, basic leucine zipper transcription factor 2	protein-coding	0.00	0.49	1.03	1.65	1.14	2.07	1.15	0.63	1.56	1.37	2.12	1.88
Merged-chr1-167394092-1	chr1	167393946	167394238	+	8.45	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_025569)	promoter-TSS (NM_025569)	-251	NM_025569	66447		NM_025569	ENSMUSG00000026688	Mgst3	2010012L10Rik|2010306B17Rik|2700004G04Rik|GST-III	microsomal glutathione S-transferase 3	protein-coding	4.85	4.39	3.60	2.76	4.55	5.18	6.90	2.54	4.16	6.83	5.29	5.16
Merged-chr13-102077003-1	chr13	102076857	102077149	+	8.45	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-308786	NM_001077495	18708		NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding	3.23	0.49	1.54	1.65	1.14	1.04	0.57	3.17	1.56	0.00	2.65	1.41
Merged-chr6-5471163-1	chr6	5471011	5471315	+	8.03	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	25115	NM_013743	27273		NM_013743	ENSMUSG00000019577	Pdk4	-	pyruvate dehydrogenase kinase, isoenzyme 4	protein-coding	5.93	3.90	3.60	2.21	3.41	3.11	4.60	1.27	5.72	4.78	3.17	2.34
Merged-chr7-132576328-1	chr7	132576182	132576474	+	7.84	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_016978)	promoter-TSS (NM_016978)	70	NM_016978	18242		NM_016978	ENSMUSG00000030934	Oat	rhg	ornithine aminotransferase	protein-coding	1.62	3.42	9.76	6.07	7.39	4.14	28.17	19.04	10.92	24.58	3.70	4.69
Merged-chr3-51916558-1	chr3	51916412	51916704	+	7.84	pCREB.fed.mergepeaks.txt	intron (NM_001004176, intron 1 of 4)	intron (NM_001004176, intron 1 of 4)	188448	NM_001004176	433586		NM_001004176	ENSMUSG00000061143	Maml3	Mam-2|mKIAA1816	mastermind like transcriptional coactivator 3	protein-coding	2.16	2.93	3.08	1.65	1.14	4.14	5.17	3.81	2.60	6.15	4.23	4.69
