PeakID (cmd=annotatePeaks.pl Filtered_Peaks_all_pCREB.txt mm10 -d tag/LKO_GCG_Input-Redo.tag/ tag/LKO_Veh_Input-Redo.tag/ tag/P8249_FLKO_GCG.tag/ tag/P8250_FLKO_GCG.tag/ tag/P8251_FWT_GCG.tag/ tag/P8266_FWT_GCG.tag/ tag/P8268_FLKO_Veh.tag/ tag/P8289_FLKO_Veh.tag/ tag/P8292_FWT_Veh.tag/ tag/P8297_FWT_Veh.tag/ tag/WT_GCG_Input-Redo.tag/ tag/WT_Veh_Input-Redo.tag/)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	tag/LKO_GCG_Input-Redo.tag/ Tag Count in given bp (18551812.0 Total, normalization factor = 0.54, effective total = 10000000)	tag/LKO_Veh_Input-Redo.tag/ Tag Count in given bp (20488236.0 Total, normalization factor = 0.49, effective total = 10000000)	tag/P8249_FLKO_GCG.tag/ Tag Count in given bp (19468993.0 Total, normalization factor = 0.51, effective total = 10000000)	tag/P8250_FLKO_GCG.tag/ Tag Count in given bp (18132350.0 Total, normalization factor = 0.55, effective total = 10000000)	tag/P8251_FWT_GCG.tag/ Tag Count in given bp (17583237.0 Total, normalization factor = 0.57, effective total = 10000000)	tag/P8266_FWT_GCG.tag/ Tag Count in given bp (19301124.0 Total, normalization factor = 0.52, effective total = 10000000)	tag/P8268_FLKO_Veh.tag/ Tag Count in given bp (17392915.0 Total, normalization factor = 0.57, effective total = 10000000)	tag/P8289_FLKO_Veh.tag/ Tag Count in given bp (15752938.0 Total, normalization factor = 0.63, effective total = 10000000)	tag/P8292_FWT_Veh.tag/ Tag Count in given bp (19236269.0 Total, normalization factor = 0.52, effective total = 10000000)	tag/P8297_FWT_Veh.tag/ Tag Count in given bp (14643986.0 Total, normalization factor = 0.68, effective total = 10000000)	tag/WT_GCG_Input-Redo.tag/ Tag Count in given bp (18902719.0 Total, normalization factor = 0.53, effective total = 10000000)	tag/WT_Veh_Input-Redo.tag/ Tag Count in given bp (21333023.0 Total, normalization factor = 0.47, effective total = 10000000)
Merged-chr1-92180333-1	chr1	92180181	92180485	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_207225)	promoter-TSS (NM_207225)	8	NM_207225	208727		NM_207225	ENSMUSG00000026313	Hdac4	4932408F19Rik|HD4	histone deacetylase 4	protein-coding	1.08	4.88	12.33	24.82	13.08	16.58	44.27	27.30	23.91	52.58	2.12	6.56
Merged-chr17-34862514-1	chr17	34862243	34862786	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_008198)	promoter-TSS (NM_008198)	0	NM_008198	14962		NM_008198	ENSMUSG00000090231	Cfb	Bf|C2|Fb|H2-Bf	complement factor B	protein-coding	3.77	9.27	9.25	9.93	7.39	8.29	10.92	6.98	5.72	10.24	4.23	6.56
Merged-chr4-151933637-1	chr4	151933485	151933789	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_172704)	promoter-TSS (NM_172704)	-83	NM_172704	230935		NM_172704	ENSMUSG00000039768	Dnajc11	E030019A03Rik	DnaJ heat shock protein family (Hsp40) member C11	protein-coding	2.70	7.81	2.57	4.96	2.84	3.11	8.62	6.35	5.20	2.73	3.70	7.50
Merged-chr10-81137424-1	chr10	81137272	81137576	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_010731, intron 1 of 2)	CpG	1153	NM_010731	16969		NM_010731	ENSMUSG00000035011	Zbtb7a	9030619K07Rik|9130006G12Rik|FBI-1|Lrf|Pokemon|Zbtb7	zinc finger and BTB domain containing 7a	protein-coding	2.70	8.30	12.84	8.82	6.82	3.63	27.02	19.68	6.76	20.49	4.23	6.09
Merged-chr2-35688799-1	chr2	35688647	35688951	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_001114124, intron 3 of 15)	intron (NM_001114124, intron 3 of 15)	-3195	NM_001290640	69601		NM_001001602	ENSMUSG00000026883	Dab2ip	2310011D08Rik|Aip1|mKIAA1743	disabled 2 interacting protein	protein-coding	1.08	1.46	1.03	3.86	2.27	6.74	20.70	9.52	5.72	13.66	5.82	3.28
Merged-chr11-102406905-1	chr11	102406753	102407057	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_026542, intron 1 of 11)	intron (NM_026542, intron 1 of 11)	612	NM_026542	68066		NM_026542	ENSMUSG00000018677	Slc25a39	3010027G13Rik|D11Ertd333e	solute carrier family 25, member 39	protein-coding	4.85	3.90	3.08	12.13	4.55	4.14	16.10	12.70	5.72	11.61	5.29	3.28
Merged-chr17-47845932-1	chr17	47845780	47846084	+	9.75	pCREB.fed.mergepeaks.txt	Intergenic	MLT1D|LTR|ERVL-MaLR	-11241	NM_001109973	17240		NM_010783	ENSMUSG00000032717	Mdfi	I-mf|I-mfa	MyoD family inhibitor	protein-coding	3.23	5.86	16.44	20.41	18.77	23.83	26.45	34.28	13.00	30.73	2.12	1.88
Merged-chr5-24138518-1	chr5	24138366	24138670	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_001161800, intron 6 of 9)	intron (NM_001161800, intron 6 of 9)	-26445	NM_001346582	231042		NM_153092	ENSMUSG00000048439	Nup42	CG1|NLP-1|Nlp1|Nupl2	nucleoporin 42	protein-coding	1.62	1.46	4.11	1.10	3.41	0.52	0.57	0.63	2.60	0.68	4.76	1.41
Merged-chr11-55461227-1	chr11	55461075	55461379	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_009720)	promoter-TSS (NM_009720)	-19	NM_009720	11927		NM_009720	ENSMUSG00000018585	Atox1	Atx1	antioxidant 1 copper chaperone	protein-coding	1.08	1.46	1.03	3.86	4.55	4.14	15.52	4.44	3.12	8.88	2.12	3.75
Merged-chr19-47302193-1	chr19	47302041	47302345	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_008018, intron 8 of 14)	intron (NM_008018, intron 8 of 14)	-28604	NR_105961	102466782		NR_105961	ENSMUSG00000098786	Mir6995	Gm27576|mmu-mir-6995	microRNA 6995	ncRNA	3.77	1.95	5.14	4.41	3.41	5.18	11.50	7.62	6.24	4.10	2.12	5.63
Merged-chr7-127276759-1	chr7	127276607	127276911	+	9.75	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-2700	NM_009266	20768		NM_009266	ENSMUSG00000049091	Sephs2	Sps2|Ysg3	selenophosphate synthetase 2	protein-coding	1.62	2.44	4.11	5.52	8.53	7.77	10.35	10.16	6.24	8.19	1.59	2.34
Merged-chr17-6106487-1	chr17	6106335	6106639	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001103181)	promoter-TSS (NM_001103181)	-343	NM_001103181	68842		NM_054040	ENSMUSG00000034377	Tulp4	1110057P05Rik|2210038L17Rik|Tusp	TUB like protein 4	protein-coding	2.16	2.44	11.81	7.72	6.82	11.40	48.30	27.30	16.12	42.34	1.06	0.94
Merged-chr11-4031306-1	chr11	4031154	4031458	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_146013)	promoter-TSS (NM_146013)	-476	NM_146013	103655		NM_146013	ENSMUSG00000019368	Sec14l4	SPF|TAP	SEC14-like lipid binding 4	protein-coding	1.62	5.37	2.57	8.82	4.55	6.74	12.07	9.52	4.68	6.15	3.70	2.34
Merged-chr17-29488799-1	chr17	29488647	29488951	+	9.75	pCREB.fed.mergepeaks.txt	intron (NR_168683, intron 1 of 3)	intron (NR_168683, intron 1 of 3)	-1986	NM_008842	18712		NM_008842	ENSMUSG00000024014	Pim1	Pim-1	proviral integration site 1	protein-coding	2.16	1.46	2.05	1.10	2.27	2.59	9.20	4.44	3.12	5.46	1.59	5.16
Merged-chr4-133570389-1	chr4	133570237	133570541	+	9.75	pCREB.fed.mergepeaks.txt	Intergenic	MER92B|LTR|ERV1	-4356	NM_172876	242691		NM_172876	ENSMUSG00000028850	Gpatch3	D930035B09Rik|Gpatc3	G patch domain containing 3	protein-coding	1.08	6.35	6.68	7.72	5.69	5.18	15.52	5.08	3.12	5.46	4.23	5.63
Merged-chr5-36696120-1	chr5	36695968	36696272	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001081232)	promoter-TSS (NM_001081232)	-99	NM_001081232	320661		NM_177221	ENSMUSG00000029190	D5Ertd579e	9030221A05Rik|A930018H20Rik|Kiaa0232	DNA segment, Chr 5, ERATO Doi 579, expressed	protein-coding	3.23	1.95	4.62	5.52	2.84	2.07	13.22	12.06	3.12	12.97	4.23	2.81
Merged-chr13-114465516-1	chr13	114465364	114465668	+	9.75	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-6565	NM_001301373	14313		NM_008046	ENSMUSG00000021765	Fst	FS	follistatin	protein-coding	1.08	2.93	4.11	5.52	1.71	2.59	5.75	6.35	4.68	4.78	4.23	3.28
Merged-chr12-86897296-1	chr12	86897144	86897448	+	9.75	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-4729	NR_166902	102635544		NR_166902	ENSMUSG00000120265	Gm26698	-	predicted gene, 26698	ncRNA	1.62	3.42	2.57	1.65	1.71	4.14	6.32	1.90	2.60	4.10	3.17	1.88
Merged-chr1-140082357-1	chr1	140082205	140082509	+	9.75	pCREB.fed.mergepeaks.txt	Intergenic	ORR1B2|LTR|ERVL-MaLR	101054	NM_009888	12628		NM_009888	ENSMUSG00000026365	Cfh	Mud-1|NOM|Sas-1|Sas1	complement component factor h	protein-coding	2.16	1.95	1.54	0.55	3.41	2.59	1.15	3.81	4.16	0.00	1.59	2.81
Merged-chr18-46280981-1	chr18	46280829	46281133	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_172627)	promoter-TSS (NM_172627)	-131	NM_172627	225467		NM_172627	ENSMUSG00000024477	Pggt1b	2010207C17Rik|2610100E13|BGG1|GGT1	protein geranylgeranyltransferase type I, beta subunit	protein-coding	2.70	4.39	1.54	3.31	4.55	2.59	9.20	4.44	3.12	7.51	2.12	3.28
Merged-chr12-26361224-1	chr12	26361072	26361376	+	9.75	pCREB.fed.mergepeaks.txt	intron (NR_130981, intron 3 of 4)	intron (NR_130981, intron 3 of 4)	14514	NR_130981	75243		NR_130981	ENSMUSG00000114048	4930549C15Rik	-	RIKEN cDNA 4930549C15 gene	ncRNA	1.62	3.42	1.03	5.52	2.27	4.14	1.15	4.44	2.60	2.73	1.06	3.75
Merged-chr12-108887315-1	chr12	108887163	108887467	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_001164314, intron 2 of 9)	HAL1|LINE|L1	5883	NM_001164488	22375		NM_011710	ENSMUSG00000021266	Wars1	TrpRS|WRS|Wars	tryptophanyl-tRNA synthetase1	protein-coding	2.16	4.88	8.73	11.58	3.98	3.11	21.27	12.70	3.12	6.83	0.53	1.88
Merged-chr11-95858689-1	chr11	95858537	95858841	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NR_045187)	promoter-TSS (NR_045187)	-128	NR_045187	73906		NR_045187	ENSMUSG00000086015	4833417C18Rik	-	RIKEN cDNA 4833417C18 gene	ncRNA	3.77	1.46	2.05	3.86	2.84	4.14	8.05	4.44	2.60	7.51	4.76	7.03
Merged-chr14-77034357-1	chr14	77034205	77034509	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_172488, intron 3 of 7)	intron (NM_172488, intron 3 of 7)	2260	NM_172488	210808		NM_172488	ENSMUSG00000044350	Lacc1	9030625A04Rik	laccase domain containing 1	protein-coding	2.16	3.42	9.76	11.58	5.69	5.70	22.42	16.50	11.44	23.90	2.65	2.34
Merged-chr14-20707487-1	chr14	20707335	20707639	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001252082)	promoter-TSS (NM_001252082)	-65	NM_027996	268721		NM_027996	ENSMUSG00000021819	Zswim8	2310021P13Rik|4832404P21Rik|Kiaa0913|mKIAA0913	zinc finger SWIM-type containing 8	protein-coding	2.16	4.39	4.11	5.52	2.84	5.18	14.37	11.43	6.76	17.07	4.23	6.56
Merged-chr18-75054223-1	chr18	75054067	75054380	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_027727, intron 3 of 16)	intron (NM_027727, intron 3 of 16)	35459	NM_027727	69190		NM_027727	ENSMUSG00000035765	Dym	1810041M12Rik|4933427L07Rik|C030019K18Rik	dymeclin	protein-coding	1.08	3.90	2.57	4.41	5.12	6.74	1.15	1.90	4.16	9.56	2.65	2.34
Merged-chr7-19149235-1	chr7	19149083	19149387	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_026943)	promoter-TSS (NM_026943)	-39	NM_026111	67369		NM_026111	ENSMUSG00000030407	Qpctl	1810019P04Rik|gQC	glutaminyl-peptide cyclotransferase-like	protein-coding	3.77	5.86	10.27	10.48	6.26	4.14	16.67	12.70	11.96	19.80	2.65	6.56
Merged-chr8-40876859-1	chr8	40876707	40877011	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_007514, intron 1 of 11)	intron (NM_007514, intron 1 of 11)	14492	NM_007514	11988		NM_007514	ENSMUSG00000031596	Slc7a2	20.5|Atrc2|CAT-2|Cat2|Tea	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	protein-coding	1.62	2.44	4.62	6.07	5.69	3.11	10.35	5.08	7.28	11.61	1.06	5.63
Merged-chr11-109706094-1	chr11	109705942	109706246	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_153782, intron 1 of 10)	intron (NM_153782, intron 1 of 10)	16144	NM_153782	208659		NM_153782	ENSMUSG00000020614	Fam20a	-	FAM20A, golgi associated secretory pathway pseudokinase	protein-coding	2.16	1.46	3.08	8.27	2.84	4.14	10.92	4.44	6.24	7.51	1.59	3.75
Merged-chr10-60277608-1	chr10	60277456	60277760	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001146122)	promoter-TSS (NM_001146122)	-20	NM_001146120	19156		NM_011179	ENSMUSG00000004207	Psap	SGP-1	prosaposin	protein-coding	5.93	6.35	5.14	4.96	5.12	8.81	20.12	8.89	6.76	16.39	6.35	5.16
Merged-chr7-119527755-1	chr7	119527603	119527907	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_178758, intron 1 of 13)	intron (NM_178758, intron 1 of 13)	1490	NM_178758	272428		NM_178758	ENSMUSG00000030972	Acsm5	C730019D22|C730027J19Rik	acyl-CoA synthetase medium-chain family member 5	protein-coding	3.77	0.00	8.73	12.68	15.36	8.29	9.77	13.33	4.16	10.93	3.17	1.41
Merged-chr16-45966833-1	chr16	45966681	45966985	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_001134480, intron 3 of 3)	intron (NM_001134480, intron 3 of 3)	21227	NR_152227	100503378		NR_152226	ENSMUSG00000085826	Gm15638	Gm41457	predicted gene 15638	ncRNA	2.70	1.95	5.65	13.24	6.26	4.66	16.67	9.52	3.12	14.34	1.59	1.88
Merged-chr17-26676442-1	chr17	26676290	26676594	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_025272)	promoter-TSS (NM_025272)	46	NM_025272	11974		NM_025272	ENSMUSG00000015575	Atp6v0e	Atp6k|Atp6v0e1|M9.2	ATPase, H+ transporting, lysosomal V0 subunit E	protein-coding	2.16	3.42	6.16	6.62	8.53	4.14	14.37	13.33	6.24	17.75	4.23	2.81
Merged-chr18-37218175-1	chr18	37218023	37218327	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_001301259, intron 1 of 3)	intron (NM_001301259, intron 1 of 3)	-46823	NM_053126	93872		NM_053126	ENSMUSG00000051663	Pcdhb1	PcdhbA	protocadherin beta 1	protein-coding	2.70	2.93	2.57	1.65	2.27	1.04	2.87	1.27	3.12	1.37	4.76	2.81
Merged-chr12-52474713-1	chr12	52474561	52474865	+	9.75	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	5896	NR_136881	102638611		NR_136881	ENSMUSG00000111982	Gm35135	-	predicted gene, 35135	ncRNA	0.00	4.88	4.62	9.93	8.53	8.29	19.55	10.79	4.16	17.07	4.76	3.75
Merged-chr11-69581463-1	chr11	69581311	69581615	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_011640, intron 1 of 10)	CpG	1104	NM_011640	22059		NM_011640	ENSMUSG00000059552	Trp53	Tp53|bbl|bfy|bhy|p44|p53	transformation related protein 53	protein-coding	1.08	5.86	5.65	7.17	5.12	4.14	14.95	8.89	4.68	18.44	3.17	4.69
Merged-chr19-36349336-1	chr19	36349184	36349488	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_001368692, intron 1 of 8)	CpG	1007	NM_001368692	76073		NM_029508	ENSMUSG00000024805	Pcgf5	0610009F02Rik|1110054A01Rik|5830406C17Rik|5830443C21Rik|9530023M17Rik	polycomb group ring finger 5	protein-coding	1.62	6.83	5.65	4.41	8.53	4.14	12.65	9.52	4.68	11.61	3.70	3.28
Merged-chr9-31926009-1	chr9	31925857	31926161	+	9.75	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-12724	NM_013800	12023		NM_013800	ENSMUSG00000032033	Barx2	2310006E12Rik|Barx2b	BarH-like homeobox 2	protein-coding	3.23	1.46	2.05	1.10	5.69	4.14	13.22	6.35	4.16	8.19	2.65	4.69
Merged-chr3-60167801-1	chr3	60167649	60167953	+	9.75	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	85932	NM_032400	84112		NM_032400	ENSMUSG00000027762	Sucnr1	Gpr91	succinate receptor 1	protein-coding	1.08	0.98	6.16	6.07	11.37	12.43	17.25	7.62	3.64	14.34	2.12	2.81
Merged-chr18-38929689-1	chr18	38929537	38929841	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_001033789, intron 3 of 4)	intron (NM_001033789, intron 3 of 4)	-10990	NM_010197	14164		NM_010197	ENSMUSG00000036585	Fgf1	Dffrx|Fam|Fgf-1|Fgf2b|Fgfa	fibroblast growth factor 1	protein-coding	2.16	4.39	3.60	8.27	11.37	15.03	10.35	8.89	9.88	20.49	2.12	3.28
Merged-chr8-72222924-1	chr8	72222772	72223076	+	9.75	pCREB.fed.mergepeaks.txt	3' UTR (NM_026455, exon 4 of 4)	3' UTR (NM_026455, exon 4 of 4)	3179	NM_026455	67922		NM_026455	ENSMUSG00000003039	Fam32a	2510049I19Rik|OTAG-12|Otag12	family with sequence similarity 32, member A	protein-coding	0.54	2.93	1.03	4.96	0.57	4.14	1.15	1.27	2.08	3.41	3.70	4.22
Merged-chr12-70707987-1	chr12	70707835	70708139	+	9.75	pCREB.fed.mergepeaks.txt	Intergenic	L1MB8|LINE|L1	-117527	NM_028127	319710		NM_028127	ENSMUSG00000048285	Frmd6	2610019M19Rik|4930488L10Rik|Willin	FERM domain containing 6	protein-coding	3.23	2.93	6.68	8.82	5.69	7.77	14.95	8.25	7.80	10.93	4.76	5.16
Merged-chr14-59521982-1	chr14	59521830	59522134	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_001360592, intron 7 of 10)	L1_Mur3|LINE|L1	43031	NM_001360593	69008		NM_026908	ENSMUSG00000021981	Cab39l	1500031K13Rik|2810425O13Rik|4930520C08Rik|MO2L	calcium binding protein 39-like	protein-coding	0.54	2.93	0.51	0.55	3.41	0.52	5.17	4.44	1.56	0.00	2.65	0.94
Merged-chr4-155578595-1	chr4	155578443	155578747	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_001159637, intron 2 of 11)	intron (NM_001159637, intron 2 of 11)	14780	NM_001355599	192185		NM_138671	ENSMUSG00000029063	Nadk	4432404C02Rik	NAD kinase	protein-coding	2.70	4.39	11.30	13.24	14.22	11.92	34.50	17.14	13.00	28.68	5.82	5.16
Merged-chr11-12858528-1	chr11	12858376	12858680	+	9.75	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-393568	NM_172496	12808		NM_172496	ENSMUSG00000020173	Cobl	-	cordon-bleu WH2 repeat	protein-coding	2.70	1.95	2.05	2.21	2.84	1.04	1.72	0.00	1.56	2.05	3.17	3.75
Merged-chr16-11176369-1	chr16	11176217	11176521	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_145931)	promoter-TSS (NM_145931)	24	NR_027502	106205		NM_145931	ENSMUSG00000037965	Zc3h7a	A430104C18Rik|HSPC055|Zc3h7|Zc3hdc7	zinc finger CCCH type containing 7 A	protein-coding	1.62	5.37	4.11	8.27	3.98	2.07	20.12	12.70	5.72	11.61	2.65	0.94
Merged-chr15-81729985-1	chr15	81729833	81730137	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001358622)	promoter-TSS (NM_001358622)	-66	NM_001358622	19387		NM_011241	ENSMUSG00000022391	Rangap1	Fug1|mKIAA1835	RAN GTPase activating protein 1	protein-coding	1.62	7.32	3.08	2.76	1.71	2.07	20.70	11.43	7.28	8.88	2.12	8.44
Merged-chr9-99506622-1	chr9	99506470	99506774	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_028768, intron 12 of 21)	intron (NM_028768, intron 12 of 21)	36201	NR_028123	69797		NR_028123	ENSMUSG00000046242	1600029I14Rik	-	RIKEN cDNA 1600029I14 gene	ncRNA	1.08	1.46	1.54	0.00	2.27	0.52	1.72	1.27	1.04	1.37	0.53	0.94
Merged-chr5-140118143-1	chr5	140117991	140118295	+	9.75	pCREB.fed.mergepeaks.txt	intron (NR_152617, intron 13 of 16)	intron (NR_152617, intron 13 of 16)	56775	NM_001359027	17120		NM_010752	ENSMUSG00000029554	Mad1l1	Mad1	MAD1 mitotic arrest deficient 1-like 1	protein-coding	1.08	1.95	3.08	5.52	5.12	4.14	5.75	4.44	2.60	4.78	2.12	3.75
Merged-chr2-140704612-1	chr2	140704460	140704764	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_001013802, intron 3 of 18)	intron (NM_001013802, intron 3 of 18)	-33136	NM_178382	71436		NM_178382	ENSMUSG00000051379	Flrt3	5530600M07Rik|C430047I10Rik|mKIAA1469	fibronectin leucine rich transmembrane protein 3	protein-coding	3.77	1.46	1.03	0.00	2.27	2.59	2.30	0.63	1.04	2.05	1.06	1.88
Merged-chr10-95779809-1	chr10	95779657	95779961	+	9.75	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	48582	NR_166666	102641383		NR_166666	ENSMUSG00000112188	Gm47708	-	predicted gene, 47708	ncRNA	2.16	1.46	7.70	12.68	6.82	8.29	6.90	5.71	5.20	10.93	1.59	2.34
Merged-chr7-89200805-1	chr7	89200653	89200957	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_028343, intron 5 of 14)	intron (NM_028343, intron 5 of 14)	137982	NM_028343	72759		NM_028343	ENSMUSG00000039428	Tmem135	2810439K08Rik|PMP52	transmembrane protein 135	protein-coding	1.08	2.44	2.57	1.65	1.71	0.52	0.57	3.17	0.52	1.37	2.12	0.47
Merged-chr8-91070023-1	chr8	91069871	91070175	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001282000)	promoter-TSS (NM_001282000)	-34	NM_011250	19651		NM_011250	ENSMUSG00000031666	Rbl2	PRB2|RBR-2|Rb2|p130	RB transcriptional corepressor like 2	protein-coding	5.39	3.42	3.60	2.76	3.98	3.11	12.65	14.60	6.76	9.56	3.17	7.50
Merged-chr19-23002211-1	chr19	23002059	23002363	+	9.75	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	86251	NM_001362508	226025		NM_177341	ENSMUSG00000052387	Trpm3	6330504P12Rik|9330180E14|B930001P07Rik|LTRPC3|MLSN2	transient receptor potential cation channel, subfamily M, member 3	protein-coding	1.08	1.46	3.60	1.10	3.98	1.55	1.15	1.27	1.04	2.05	1.06	1.41
Merged-chr13-23913682-1	chr13	23913530	23913834	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_177016, intron 1 of 11)	intron (NM_177016, intron 1 of 11)	1325	NM_177016	319848		NM_177016	ENSMUSG00000021336	Slc17a4	9130214H05Rik	solute carrier family 17 (sodium phosphate), member 4	protein-coding	1.08	1.46	2.57	6.62	3.41	3.11	9.20	2.54	2.08	2.05	2.65	2.81
Merged-chr11-51876013-1	chr11	51875861	51876165	+	9.75	pCREB.fed.mergepeaks.txt	Intergenic	ORR1B2|LTR|ERVL-MaLR	-18345	NM_199299	76901		NM_199299	ENSMUSG00000020387	Jade2	1200017K05Rik|Phf15|mKIAA0239	jade family PHD finger 2	protein-coding	0.54	2.44	3.60	4.41	2.27	2.07	4.02	1.90	2.08	4.10	2.12	5.63
Merged-chr6-108783028-1	chr6	108782876	108783180	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_026011)	promoter-TSS (NM_026011)	-31	NM_026011	67166		NM_026011	ENSMUSG00000030105	Arl8b	2610313E07Rik|3100002J04Rik|Arl10c|gie1	ADP-ribosylation factor-like 8B	protein-coding	7.55	3.90	4.62	3.86	1.14	4.14	10.92	10.16	7.80	17.75	2.65	3.28
Merged-chr9-66213503-1	chr9	66213351	66213655	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_010019, intron 2 of 11)	intron (NM_010019, intron 2 of 11)	55277	NM_010019	13143		NM_010019	ENSMUSG00000032380	Dapk2	-	death-associated protein kinase 2	protein-coding	0.54	3.90	3.60	2.76	3.41	3.63	9.20	2.54	3.64	12.29	2.65	5.16
Merged-chr6-145710388-1	chr6	145710236	145710540	+	9.75	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-36399	NM_027760	71323		NM_027760	ENSMUSG00000030259	Rassf8	5133400D11Rik|Hoj1|mHoj-1	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8	protein-coding	4.85	2.44	3.60	8.82	6.82	4.14	14.95	12.06	6.76	10.24	0.53	1.41
Merged-chr19-6128214-1	chr19	6128022	6128406	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_026912)	promoter-TSS (NM_026912)	46	NM_026912	69024		NM_026912	ENSMUSG00000024787	Snx15	1500032B08Rik|E130013C21Rik	sorting nexin 15	protein-coding	7.01	3.42	1.03	9.38	5.69	4.14	21.27	13.33	10.92	21.85	5.29	4.22
Merged-chr7-44997589-1	chr7	44997437	44997741	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_029410)	promoter-TSS (NM_029410)	-10	NM_029410	75736		NM_029410	ENSMUSG00000003190	Bcl2l12	2810475P17Rik|5430429M05Rik|Bcl-L12|Bcl2-L12	BCL2 like 12	protein-coding	4.31	4.88	2.05	4.41	5.12	2.07	8.05	6.35	5.72	15.02	2.12	7.97
Merged-chr5-72498533-1	chr5	72498381	72498685	+	9.75	pCREB.fed.mergepeaks.txt	intron (NM_001122756, intron 1 of 21)	intron (NM_001122756, intron 1 of 21)	5675	NM_016869	53419		NM_016869	ENSMUSG00000005220	Corin	Lrp4	corin, serine peptidase	protein-coding	1.62	2.44	3.08	8.82	9.67	6.74	16.67	12.06	8.84	8.88	3.17	3.28
Merged-chr6-124740986-1	chr6	124740834	124741138	+	9.75	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_013535)	promoter-TSS (NM_013535)	83	NM_013535	14790		NM_013535	ENSMUSG00000072772	Grcc10	2310033H05Rik|C10	gene rich cluster, C10 gene	protein-coding	3.77	5.37	3.08	2.76	7.96	1.04	10.35	3.81	5.72	6.15	0.53	4.69
