PeakID (cmd=annotatePeaks.pl pCREB.fed.BCL6.mergepeaks.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr4-145194178-1	chr4	145194085	145194271	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_001276465, intron 1 of 69)	intron (NM_001276465, intron 1 of 69)	827	NM_001276465	230895		NM_001033190	ENSMUSG00000020220	Vps13d	-	vacuolar protein sorting 13D	protein-coding
Merged-chr11-6044073-1	chr11	6043980	6044166	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_001174054, intron 1 of 20)	L1MC2|LINE|L1	21675	NM_001174054	12323		NM_007595	ENSMUSG00000057897	Camk2b	CaMKII	calcium/calmodulin-dependent protein kinase II, beta	protein-coding
Merged-chr19-5850036-1	chr19	5849943	5850129	+	21.100000	GetdiffpeaksBCL6WT.txt	TTS (NM_026169)	TTS (NM_026169)	-4556	NR_003513	66961		NR_003513	ENSMUSG00000092274	Neat1	2310043N10Rik|VINC	nuclear paraspeckle assembly transcript 1 (non-protein coding)	ncRNA
Merged-chr17-31909161-1	chr17	31909068	31909254	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-53357	NM_010831	17691		NM_010831	ENSMUSG00000024042	Sik1	Hrt-20|Msk|Sik|Sik-1|Snf1lk	salt inducible kinase 1	protein-coding
Merged-chr5-28756249-1	chr5	28756156	28756342	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-289148	NM_009170	20423		NM_009170	ENSMUSG00000002633	Shh	9530036O11Rik|Dsh|HHG-1|Hhg1|Hx|Hxl3|M100081|ShhNC	sonic hedgehog	protein-coding
Merged-chr17-14200334-1	chr17	14200241	14200427	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_172826, intron 1 of 3)	intron (NM_172826, intron 1 of 3)	3497	NM_172826	240025		NM_172826	ENSMUSG00000048826	Dact2	2900084M21Rik|A630024E20|Dpr2|Frd2|dapper2	dishevelled-binding antagonist of beta-catenin 2	protein-coding
Merged-chr9-77719253-1	chr9	77719160	77719346	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	MER58B|DNA|hAT-Charlie	-35282	NR_151778	14629		NM_010295	ENSMUSG00000032350	Gclc	D9Wsu168e|GLCL-H|Ggcs-hs|Glclc	glutamate-cysteine ligase, catalytic subunit	protein-coding
Merged-chr3-79223422-1	chr3	79223329	79223515	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NR_045502, intron 1 of 2)	intron (NR_045502, intron 1 of 2)	10503	NR_045502	70924		NR_045502	ENSMUSG00000104585	4921511C10Rik	-	RIKEN cDNA 4921511C10 gene	ncRNA
Merged-chr13-69631289-1	chr13	69631196	69631382	+	21.100000	GetdiffpeaksBCL6WT.txt	exon (NM_145354, exon 16 of 19)	exon (NM_145354, exon 16 of 19)	19273	NM_145354	28114		NM_145354	ENSMUSG00000021595	Nsun2	D13Wsu123e|Misu	NOL1/NOP2/Sun domain family member 2	protein-coding
Merged-chr9-63185423-1	chr9	63185330	63185516	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_001364493, intron 20 of 20)	intron (NM_001364493, intron 20 of 20)	-36462	NM_001163758	207667		NM_172446	ENSMUSG00000022245	Skor1	C230094B15Rik|Corl1|Lbxcor1	SKI family transcriptional corepressor 1	protein-coding
Merged-chr6-51342851-1	chr6	51342758	51342944	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-36859	NR_110455	625167		NR_110455	ENSMUSG00000107660	Gm6559	EG625167	predicted gene 6559	ncRNA
Merged-chr14-32476820-1	chr14	32476727	32476913	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-10911	NM_009891	12647		NM_009891	ENSMUSG00000021919	Chat	B230380D24Rik|CHOACTase	choline acetyltransferase	protein-coding
Merged-chr1-31094984-1	chr1	31094891	31095077	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NR_136907, intron 1 of 3)	intron (NR_136907, intron 1 of 3)	1470	NR_136907	102634473		NR_136907	ENSMUSG00000086727	Gm29669	-	predicted gene 29669	ncRNA
Merged-chr7-49284029-1	chr7	49283936	49284122	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_175272, intron 1 of 37)	intron (NM_175272, intron 1 of 37)	37840	NM_175272	78286		NM_175272	ENSMUSG00000052512	Nav2	5330421F07Rik|HELAD1|POMFIL2|RAINB1|RAINB2|Unc53H2|mKIAA3015	neuron navigator 2	protein-coding
Merged-chr12-110485843-1	chr12	110485592	110486095	+	21.100000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001081458)	promoter-TSS (NM_001081458)	46	NM_012023	26931		NM_012023	ENSMUSG00000017843	Ppp2r5c	2610043M05Rik|2700063L20Rik|D12Bwg0916e	protein phosphatase 2, regulatory subunit B', gamma	protein-coding
Merged-chr6-88732146-1	chr6	88732053	88732239	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_011844, intron 2 of 7)	intron (NM_011844, intron 2 of 7)	7442	NM_001166251	23945		NM_011844	ENSMUSG00000033174	Mgll	Magl|Mgl	monoglyceride lipase	protein-coding
Merged-chr9-60950372-1	chr9	60950279	60950465	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-66697	NR_040767	330956		NR_040767	ENSMUSG00000111290	Gm5122	A430102L10	predicted gene 5122	ncRNA
Merged-chr15-10379869-1	chr15	10379776	10379962	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_001031851, intron 5 of 13)	intron (NM_001031851, intron 5 of 13)	21290	NM_001031851	268782		NM_001031851	ENSMUSG00000089678	Agxt2	-	alanine-glyoxylate aminotransferase 2	protein-coding
Merged-chr8-72495908-1	chr8	72495815	72496001	+	21.100000	GetdiffpeaksBCL6WT.txt	exon (NM_027485, exon 3 of 3)	exon (NM_027485, exon 3 of 3)	-3294	NM_177766	270066		NM_177766	ENSMUSG00000019731	Slc35e1	6030458H05	solute carrier family 35, member E1	protein-coding
Merged-chr9-69230108-1	chr9	69230015	69230201	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_013646, intron 2 of 10)	intron (NM_013646, intron 2 of 10)	-59733	NM_001289916	19883		NM_013646	ENSMUSG00000032238	Rora	9530021D13Rik|Nr1f1|ROR1|ROR2|ROR3|nmf267|sg|staggerer|tmgc26	RAR-related orphan receptor alpha	protein-coding
Merged-chr6-72245186-1	chr6	72245093	72245279	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-9609	NM_153778	71093		NM_153778	ENSMUSG00000037621	Atoh8	4933425C05Rik|Hath6|Math6|bHLHa21|okadin	atonal bHLH transcription factor 8	protein-coding
Merged-chr5-145913146-1	chr5	145913053	145913239	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-33292	NM_007818	13112		NM_007818	ENSMUSG00000056035	Cyp3a11	Cyp3a|IIIAm1|Pcn	cytochrome P450, family 3, subfamily a, polypeptide 11	protein-coding
Merged-chr4-139273466-1	chr4	139273373	139273559	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_001037761, intron 4 of 9)	intron (NM_001037761, intron 4 of 9)	37242	NR_151463	212555		NM_145384	ENSMUSG00000028744	Slc66a1	Pqlc2	solute carrier family 66 member 1	protein-coding
Merged-chr16-16368521-1	chr16	16368428	16368614	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-9490	NM_001360009	74006		NM_152816	ENSMUSG00000022789	Dnm1l	6330417M19Rik|Dlp1|Dnmlp1|Drp1|python	dynamin 1-like	protein-coding
Merged-chr11-28695212-1	chr11	28695119	28695305	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	13648	NR_045906	72818		NR_045906	ENSMUSG00000084966	2810471M01Rik	-	RIKEN cDNA 2810471M01 gene	ncRNA
Merged-chr14-30920972-1	chr14	30920879	30921065	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_008407, intron 5 of 20)	intron (NM_008407, intron 5 of 20)	2615	NM_008407	16426		NM_008407	ENSMUSG00000006522	Itih3	ITI-HC3|Intin3|Itih-3	inter-alpha trypsin inhibitor, heavy chain 3	protein-coding
Merged-chr11-62934948-1	chr11	62934855	62935041	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	ORR1E|LTR|ERVL-MaLR	-16245	NM_025496	66338		NM_025496	ENSMUSG00000042200	Cdrt4	1700019I23Rik	CMT1A duplicated region transcript 4	protein-coding
Merged-chr1-129250832-1	chr1	129250739	129250925	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-22472	NM_172485	210417		NM_172485	ENSMUSG00000042581	Thsd7b	1700074E13Rik|B930082A18|D130067I03Rik	thrombospondin, type I, domain containing 7B	protein-coding
Merged-chr11-7197617-1	chr11	7197524	7197710	+	21.100000	GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_008341)	promoter-TSS (NM_008341)	-170	NM_008341	16006		NM_008341	ENSMUSG00000020429	Igfbp1	-	insulin-like growth factor binding protein 1	protein-coding
Merged-chr13-44339407-1	chr13	44339314	44339500	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-100320	NR_045489	69491		NR_045489	ENSMUSG00000098144	1700029N11Rik	-	RIKEN cDNA 1700029N11 gene	ncRNA
Merged-chr3-87509302-1	chr3	87509209	87509395	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NR_168327, intron 1 of 1)	intron (NR_168327, intron 1 of 1)	3341	NR_168327	105244484		NR_168327		Gm40085	-	predicted gene, 40085	ncRNA
Merged-chr13-73653516-1	chr13	73653423	73653609	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	ORR1D1-int|LTR|ERVL-MaLR	24507	NM_001168646	22598		NM_011730	ENSMUSG00000021612	Slc6a18	B0AT3|D630001K16Rik|Xt2|Xtrp2	solute carrier family 6 (neurotransmitter transporter), member 18	protein-coding
Merged-chr2-109750624-1	chr2	109750531	109750717	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	PB1D10|SINE|Alu	27703	NM_001285422	12064		NM_007540	ENSMUSG00000048482	Bdnf	-	brain derived neurotrophic factor	protein-coding
Merged-chr5-150598893-1	chr5	150598800	150598986	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-4368	NM_133898	100637		NM_133898	ENSMUSG00000041132	N4bp2l1	2410024N18Rik|B230342M21Rik	NEDD4 binding protein 2-like 1	protein-coding
Merged-chr11-60810517-1	chr11	60810424	60810610	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_009171, intron 1 of 11)	intron (NM_009171, intron 1 of 11)	748	NM_009171	20425		NM_009171	ENSMUSG00000020534	Shmt1	Shmt|mshmt|mshmt1|mshmt2	serine hydroxymethyltransferase 1 (soluble)	protein-coding
Merged-chr13-8700053-1	chr13	8699960	8700146	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NR_110345, intron 5 of 10)	intron (NR_110345, intron 5 of 10)	170991	NM_001039389	207615		NM_172445	ENSMUSG00000021147	Wdr37	-	WD repeat domain 37	protein-coding
Merged-chr5-23863384-1	chr5	23863291	23863477	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	11151	NR_028536	100217436		NR_028536		Snord93	Gm22397|MBII-336	small nucleolar RNA, C/D box 93	snoRNA
Merged-chr5-130043916-1	chr5	130043823	130044009	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_007761, intron 4 of 5)	B3A|SINE|B2	14610	NM_007761	12909		NM_007761	ENSMUSG00000025532	Crcp	-	calcitonin gene-related peptide-receptor component protein	protein-coding
Merged-chr11-106749294-1	chr11	106749201	106749387	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	L1_Mur2|LINE|L1	-1932	NM_001271375	380732		NM_001033435	ENSMUSG00000040528	Milr1	Allergin-1|Gm885|Mca32	mast cell immunoglobulin like receptor 1	protein-coding
Merged-chr12-52446736-1	chr12	52446643	52446829	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	33873	NR_136881	102638611		NR_136881	ENSMUSG00000111982	Gm35135	-	predicted gene, 35135	ncRNA
Merged-chr7-117278688-1	chr7	117278595	117278781	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-102291	NM_175645	233781		NM_175645	ENSMUSG00000030657	Xylt1	8030490L12	xylosyltransferase 1	protein-coding
Merged-chr4-55461971-1	chr4	55461878	55462064	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-43129	NR_040674	100415914		NR_040674	ENSMUSG00000087070	Gm12505	-	predicted gene 12505	ncRNA
Merged-chr3-138339867-1	chr3	138339774	138339960	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	MER21B|LTR|ERVL	-1772	NM_001370857	100417514		NM_001370857	ENSMUSG00000074206	Adh6b	Adh5b	alcohol dehydrogenase 6B (class V)	protein-coding
Merged-chr18-5007812-1	chr18	5007719	5007905	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-38777	NM_153153	225115		NM_153153	ENSMUSG00000024236	Svil	B430302E16Rik	supervillin	protein-coding
Merged-chr11-113101699-1	chr11	113101606	113101792	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NR_015556, intron 1 of 2)	intron (NR_015556, intron 1 of 2)	100139	NR_015556	72386		NR_015556	ENSMUSG00000087259	2610035D17Rik	Rason	RIKEN cDNA 2610035D17 gene	ncRNA
Merged-chr6-37430817-1	chr6	37430724	37430910	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_178661, intron 1 of 11)	intron (NM_178661, intron 1 of 11)	11331	NM_178661	208647		NM_178661	ENSMUSG00000038648	Creb3l2	BBF2H7|C530025K05Rik|SCIRR69	cAMP responsive element binding protein 3-like 2	protein-coding
Merged-chr9-47424301-1	chr9	47424208	47424394	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	MER113B|DNA|hAT-Charlie	-105869	NM_001310841	54725		NM_018770	ENSMUSG00000032076	Cadm1	2900073G06Rik|3100001I08Rik|Bl2|Igsf4|Igsf4a|Necl2|RA175|RA175A|RA175B|RA175C|RA175N|ST17|SgIGSF|SynCam|Tslc1	cell adhesion molecule 1	protein-coding
Merged-chr4-107899367-1	chr4	107899274	107899460	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	9468	NM_028754	74098		NM_028754	ENSMUSG00000028608	Czib	0610037L13Rik|1110008H16Rik	CXXC motif containing zinc binding protein	protein-coding
Merged-chr15-31343843-1	chr15	31343750	31343936	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_027496, intron 1 of 3)	intron (NM_027496, intron 1 of 3)	23916	NM_001357923	67434		NM_026153	ENSMUSG00000022237	Ankrd33b	0610012A05Rik|3021401C12Rik|5730557B15Rik	ankyrin repeat domain 33B	protein-coding
Merged-chr19-44067511-1	chr19	44067418	44067604	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_145502, intron 2 of 10)	intron (NM_145502, intron 2 of 10)	2175	NM_145502	226144		NM_145502	ENSMUSG00000025198	Erlin1	2810439N09Rik|Keo4|Spfh1	ER lipid raft associated 1	protein-coding
Merged-chr9-63534387-1	chr9	63534294	63534480	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_030068, intron 8 of 21)	intron (NM_030068, intron 8 of 21)	68106	NM_030068	78250		NM_030068	ENSMUSG00000037801	Iqch	4921504K03Rik	IQ motif containing H	protein-coding
Merged-chr11-115166897-1	chr11	115166804	115166990	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_012030, intron 1 of 5)	intron (NM_012030, intron 1 of 5)	3556	NM_012030	26941		NM_012030	ENSMUSG00000020733	Nherf1	EBP-50|NHE-RF|NHERF-1|Slc9a3r1	NHERF family PDZ scaffold protein 1	protein-coding
Merged-chr19-39954034-1	chr19	39953941	39954127	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-38390	NM_010001	13096		NM_010001	ENSMUSG00000042248	Cyp2c37	-	cytochrome P450, family 2. subfamily c, polypeptide 37	protein-coding
Merged-chr10-87915993-1	chr10	87915900	87916086	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_001111274, intron 4 of 4)	intron (NM_001111274, intron 4 of 4)	-50678	NR_000040	22172		NR_000040		Tyms-ps	-	thymidylate synthase, pseudogene	pseudo
Merged-chr6-5474240-1	chr6	5474147	5474333	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	22038	NM_013743	27273		NM_013743	ENSMUSG00000019577	Pdk4	-	pyruvate dehydrogenase kinase, isoenzyme 4	protein-coding
Merged-chr6-22339842-1	chr6	22339749	22339935	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_138587, intron 2 of 9)	intron (NM_138587, intron 2 of 9)	16239	NM_138587	27999		NM_138587	ENSMUSG00000029672	Fam3c	D6Wsu176e|Ilei	FAM3 metabolism regulating signaling molecule C	protein-coding
Merged-chr14-100345018-1	chr14	100344925	100345111	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-195222	NM_010636	16597		NM_010636	ENSMUSG00000072294	Klf12	2700063E05Rik|AP-2rep|B130052C06Rik|D530033K05Rik	Kruppel-like transcription factor 12	protein-coding
Merged-chr4-108136444-1	chr4	108136351	108136537	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	MMVL30-int|LTR|ERV1	-17897	NM_011327	20280		NM_011327	ENSMUSG00000028603	Scp2	NSL-TP|SCP-2|SCP-X|SCPX|ns-LTP	sterol carrier protein 2, liver	protein-coding
Merged-chr19-21651858-1	chr19	21651765	21651951	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_025423, intron 1 of 3)	intron (NM_025423, intron 1 of 3)	933	NM_025423	66206		NM_025423	ENSMUSG00000035171	1110059E24Rik	-	RIKEN cDNA 1110059E24 gene	protein-coding
Merged-chr6-134664622-1	chr6	134664529	134664715	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_026371, intron 2 of 3)	intron (NM_026371, intron 2 of 3)	23682	NM_026371	67774		NM_026371	ENSMUSG00000042992	Borcs5	5830457J20Rik|Loh12cr1	BLOC-1 related complex subunit 5	protein-coding
Merged-chr3-84034483-1	chr3	84034390	84034576	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_172681, intron 2 of 34)	MIR|SINE|MIR	5678	NM_172681	229473		NM_172681	ENSMUSG00000033767	Tmem131l	D930015E06Rik|Kiaa0922|mKIAA0922	transmembrane 131 like	protein-coding
Merged-chr12-35314181-1	chr12	35314088	35314274	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	LTR82A|LTR|ERVL	-119284	NR_030449	751520		NR_030449	ENSMUSG00000076253	Mir680-3	Mirn680-3	microRNA 680-3	ncRNA
Merged-chr5-36568347-1	chr5	36568254	36568440	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_133910, intron 2 of 13)	MER20|DNA|hAT-Charlie	14050	NM_133910	100855		NM_133910	ENSMUSG00000029192	Tbc1d14	2810413P16Rik|D5Ertd110e|mKIAA1322	TBC1 domain family, member 14	protein-coding
Merged-chr1-153689899-1	chr1	153689806	153689992	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_026380, intron 5 of 6)	intron (NM_026380, intron 5 of 6)	24226	NM_001347115	67792		NM_026380	ENSMUSG00000042671	Rgs8	6530413N01Rik	regulator of G-protein signaling 8	protein-coding
Merged-chr5-3790465-1	chr5	3790372	3790558	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_001289527, intron 1 of 19)	intron (NM_001289527, intron 1 of 19)	12659	NM_001289528	70797		NM_001003909	ENSMUSG00000040351	Ankib1	2310061P20Rik|4631416I11Rik|mKIAA1386	ankyrin repeat and IBR domain containing 1	protein-coding
Merged-chr10-118752607-1	chr10	118752514	118752700	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-36881	NR_155867	102636202		NR_155867	ENSMUSG00000112029	Gm33337	-	predicted gene, 33337	ncRNA
Merged-chr15-25692421-1	chr15	25692328	25692514	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_019472, intron 2 of 40)	intron (NM_019472, intron 2 of 40)	-60785	NM_001353142	17909		NM_019472	ENSMUSG00000022272	Myo10	D15Ertd600e|mKIAA0799|myosin-X	myosin X	protein-coding
Merged-chr5-17824958-1	chr5	17824865	17825051	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_001159555, intron 3 of 14)	intron (NM_001159555, intron 3 of 14)	10938	NM_001159555	12491		NM_007643	ENSMUSG00000002944	Cd36	FAT|GPIV|Scarb3	CD36 molecule	protein-coding
Merged-chr15-75967067-1	chr15	75966974	75967160	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-2056	NM_001361464	69020		NM_001081065	ENSMUSG00000034429	Zfp707	1500031N24Rik	zinc finger protein 707	protein-coding
Merged-chr11-63213256-1	chr11	63213163	63213349	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	80453	NM_001302260	18858		NM_008885	ENSMUSG00000018217	Pmp22	Gas-3|HNPP|PMP-22|TRE002|Tr|trembler	peripheral myelin protein 22	protein-coding
Merged-chr3-108314210-1	chr3	108314117	108314303	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_019972, intron 3 of 19)	intron (NM_019972, intron 3 of 19)	30146	NM_019972	20661		NM_019972	ENSMUSG00000068747	Sort1	2900053A11Rik|Ntr3|Ntsr3	sortilin 1	protein-coding
Merged-chr13-20130961-1	chr13	20130868	20131054	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_080288, intron 1 of 21)	MLT2B3|LTR|ERVL	40454	NM_080288	140580		NM_080288	ENSMUSG00000041112	Elmo1	6330578D22Rik|C230095H21Rik|CED-12	engulfment and cell motility 1	protein-coding
Merged-chr5-114134068-1	chr5	114133975	114134161	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_011677, intron 2 of 5)	B3|SINE|B2	2912	NM_011677	22256		NM_011677	ENSMUSG00000029591	Ung	UNG1|UNG2	uracil DNA glycosylase	protein-coding
Merged-chr15-3323266-1	chr15	3323173	3323359	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_010284, intron 9 of 10)	intron (NM_010284, intron 9 of 10)	-19740	NM_001357801	100039139		NM_001166063	ENSMUSG00000091119	Ccdc152	-	coiled-coil domain containing 152	protein-coding
Merged-chr2-115888610-1	chr2	115888517	115888703	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_001159569, intron 9 of 12)	intron (NM_001159569, intron 9 of 12)	176009	NM_001346038	17536		NM_010825	ENSMUSG00000027210	Meis2	A430109D20Rik|Mrg1|Stra10	Meis homeobox 2	protein-coding
Merged-chr1-193205587-1	chr1	193205494	193205680	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-4041	NM_153137	215243		NM_153137	ENSMUSG00000037318	Traf3ip3	6030423D04Rik|T3jam	TRAF3 interacting protein 3	protein-coding
Merged-chr11-58198289-1	chr11	58198196	58198382	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	B4|SINE|B4	-1267	NM_018738	16145		NM_018738	ENSMUSG00000078853	Igtp	Irgm3	interferon gamma induced GTPase	protein-coding
Merged-chr2-30144782-1	chr2	30144689	30144875	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_146252, intron 7 of 11)	intron (NM_146252, intron 7 of 11)	11036	NM_146252	70296		NM_146252	ENSMUSG00000039678	Tbc1d13	2600014A06Rik	TBC1 domain family, member 13	protein-coding
Merged-chr9-114815599-1	chr9	114815506	114815692	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_027294, intron 1 of 3)	intron (NM_027294, intron 1 of 3)	28553	NM_027294	70031		NM_027294	ENSMUSG00000041012	Cmtm8	2700018N07Rik|Cklfsf8	CKLF-like MARVEL transmembrane domain containing 8	protein-coding
Merged-chr14-63245448-1	chr14	63245355	63245541	+	21.100000	GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_008092)	promoter-TSS (NM_008092)	-177	NM_001310610	14463		NM_008092	ENSMUSG00000021944	Gata4	Gata-4	GATA binding protein 4	protein-coding
Merged-chr12-8782132-1	chr12	8782039	8782225	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_011519, intron 1 of 4)	intron (NM_011519, intron 1 of 4)	10736	NM_011519	20969		NM_011519	ENSMUSG00000020592	Sdc1	CD138|Sstn|Synd|Synd1|syn-1	syndecan 1	protein-coding
Merged-chr4-135243171-1	chr4	135243078	135243264	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_013885, intron 1 of 5)	intron (NM_013885, intron 1 of 5)	29589	NM_013885	29876		NM_013885	ENSMUSG00000037242	Clic4	D0Jmb3|TU-74|mc3s5|mtCLIC	chloride intracellular channel 4	protein-coding
Merged-chr4-43624628-1	chr4	43624535	43624721	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-7307	NM_001355466	230103		NM_173788	ENSMUSG00000028469	Npr2	GC-B|GC-B2|GC-B3|cn|mNPR-B|pwe	natriuretic peptide receptor 2	protein-coding
Merged-chr1-170460168-1	chr1	170460075	170460261	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NR_154593, intron 2 of 9)	intron (NR_154593, intron 2 of 9)	96942	NR_154593	70729		NM_027528	ENSMUSG00000038473	Nos1ap	6330408P19Rik|Capon	nitric oxide synthase 1 (neuronal) adaptor protein	protein-coding
Merged-chr6-35874789-1	chr6	35874696	35874882	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-334901	NM_008098	14489		NM_008098	ENSMUSG00000029840	Mtpn	5033418D15Rik|Gcdp|V1	myotrophin	protein-coding
Merged-chr13-119716266-1	chr13	119716173	119716359	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NM_175538, intron 2 of 3)	intron (NM_175538, intron 2 of 3)	25915	NM_001291439	208715		NM_145942	ENSMUSG00000093930	Hmgcs1	B130032C06Rik	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	protein-coding
Merged-chr11-53762991-1	chr11	53762898	53763084	+	21.100000	GetdiffpeaksBCL6WT.txt	TTS (NR_106131)	TTS (NR_106131)	663	NR_106131	102465772		NR_106131	ENSMUSG00000099153	Mir7671	Gm27802|mmu-mir-7671	microRNA 7671	ncRNA
Merged-chr18-74935915-1	chr18	74935822	74936008	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	25348	NM_010720	16891		NM_010720	ENSMUSG00000053846	Lipg	3110013K01Rik|EL|lipase|mEDL	lipase, endothelial	protein-coding
Merged-chr8-10879613-1	chr8	10879520	10879706	+	21.100000	GetdiffpeaksBCL6WT.txt	intron (NR_040705, intron 2 of 5)	intron (NR_040705, intron 2 of 5)	2841	NR_040705	320014		NR_040705	ENSMUSG00000109473	B930025P03Rik	-	RIKEN cDNA B930025P03 gene	ncRNA
Merged-chr13-16069304-1	chr13	16069211	16069397	+	21.100000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-45881	NR_155430	100503142		NR_155430	ENSMUSG00000121795	B230303A05Rik	B230303A05|EG328191|Gm48907	U1 small nuclear ribonucleoprotein 1C pseudogene	pseudo
